"ID_Pensionado","COD_TIPO_PENSION","COD_PARENTESCO","SEXO","Edad","MONTO"
"V00047",1,NA,"F",68,14241087.588
"V00050",1,NA,"M",70,14142612.393
"V00081",1,NA,"F",69,13391983.059
"V00105",1,NA,"F",72,13070222.802
"V00115",1,NA,"M",69,12909431.808
"V00126",1,NA,"M",71,12784517.928
"V00144",1,NA,"F",73,12532021.047
"V00166",1,NA,"F",64,12249511.638
"V00174",1,NA,"F",66,12217577.463
"V00175",1,NA,"M",61,12189515.52
"V00177",1,NA,"F",64,12172929.405
"V00185",1,NA,"F",69,12089892.906
"V00189",1,NA,"F",66,12016788.693
"V00196",1,NA,"F",71,11976698.916
"V00197",1,NA,"F",69,11958135.735
"V00211",1,NA,"F",67,11835979.428
"V00217",1,NA,"F",71,11781913.689
"V00243",1,NA,"F",63,11622704.457
"V00264",1,NA,"M",58,11424928.788
"V00266",1,NA,"F",58,11413119.354
"V00267",1,NA,"F",67,11403714.777
"V00268",1,NA,"F",71,11392558.632
"V00272",1,NA,"M",66,11364781.701
"V00293",1,NA,"M",61,11195001.363
"V00332",1,NA,"M",63,10899941.325
"V00345",1,NA,"F",66,10847420.493
"V00349",1,NA,"F",70,10833911.907
"V00358",1,NA,"M",64,10786637.316
"V00387",1,NA,"F",58,10646930.385
"V00390",1,NA,"M",70,10634648.388
"V00392",1,NA,"M",65,10632065.262
"V00408",1,NA,"M",68,10503372.789
"V00425",1,NA,"M",67,10393782.672
"V00427",1,NA,"F",61,10378746.105
"V00449",1,NA,"F",69,10294697.049
"V00457",1,NA,"M",66,10259497.248
"V00499",1,NA,"M",64,10079002.752
"V00501",1,NA,"F",64,10077648.126
"V00519",1,NA,"F",67,10013355.261
"V00521",1,NA,"M",73,10001498.598
"V00536",1,NA,"M",70,9932664.378
"V00544",1,NA,"F",72,9911270.733
"V00559",1,NA,"M",70,9872271.864
"V00573",1,NA,"M",74,9825375.651
"V00575",1,NA,"F",67,9819675.411
"V00588",1,NA,"M",66,9786497.175
"V00591",1,NA,"M",66,9770399.184
"V00617",1,NA,"M",64,9693273.681
"V00623",1,NA,"F",72,9671937.093
"V00632",1,NA,"F",77,9647079.351
"V00637",1,NA,"F",65,9634964.43
"V00646",1,NA,"F",66,9593727.507
"V00680",1,NA,"F",77,9505236.195
"V00694",1,NA,"M",81,9467816.904
"V00702",1,NA,"M",69,9439473.225
"V00709",1,NA,"F",60,9409937.355
"V00728",1,NA,"M",66,9364197.024
"V00759",1,NA,"M",61,9278161.347
"V00760",1,NA,"F",60,9270034.137
"V00773",1,NA,"F",69,9228908.598
"V00782",1,NA,"M",66,9198343.245
"V00791",1,NA,"F",65,9185160.075
"V00824",1,NA,"F",68,9069150.09
"V00857",1,NA,"F",68,8995583.415
"V00869",1,NA,"M",66,8959953.093
"V00886",1,NA,"F",66,8920564.653
"V00888",1,NA,"M",62,8920299.57
"V00936",1,NA,"M",70,8737708.2975
"V00941",1,NA,"M",72,8728369.104
"V00944",1,NA,"F",65,8722351.911
"V00952",1,NA,"F",63,8703503.991
"V00956",1,NA,"M",64,8693974.107
"V00968",1,NA,"F",64,8649279.912
"V00972",1,NA,"F",63,8641768.044
"V00984",1,NA,"F",74,8621582.697
"V00987",1,NA,"F",68,8611435.287
"V00995",1,NA,"M",63,8594511.198
"V00999",1,NA,"F",64,8585680.467
"V01012",1,NA,"F",67,8554972.335
"V01028",1,NA,"M",78,8518918.317
"V01064",1,NA,"F",67,8435111.139
"V01080",1,NA,"M",72,8372251.524
"V01108",1,NA,"F",68,8294221.845
"V01112",1,NA,"M",67,8287003.179
"V01115",1,NA,"F",67,8282587.131
"V01118",1,NA,"M",67,8271555.474
"V01124",1,NA,"M",64,8242025.883
"V01126",1,NA,"F",64,8240127.168
"V01127",1,NA,"M",65,8234941.533
"V01146",1,NA,"F",67,8186491.95
"V01147",1,NA,"M",74,8181176.094
"V01181",1,NA,"F",74,8077246.632
"V01189",1,NA,"F",66,8066707.467
"V01192",1,NA,"F",61,8061597.999
"V01193",1,NA,"M",65,8059021.971
"V01203",1,NA,"F",65,8041373.886
"V01215",1,NA,"F",63,7986042.519
"V01222",1,NA,"F",65,7976248.644
"V01227",1,NA,"F",67,7969173.303
"V01230",1,NA,"M",67,7961835.882
"V01231",1,NA,"M",65,7960149.561
"V01241",1,NA,"F",69,7947373.707
